match_id,date,cup,stage,player_a,goals_a,player_b,goals_b,rating_a_before,rating_b_before,participation_a,participation_b,rating_change_a,rating_change_b,rating_a_after,rating_b_after
1,2026-08-09,CUP-01,Round of 16,Naser,0,Sia,2,384,314,11,11,-15,20,369,334
2,2026-08-09,CUP-01,Round of 16,Naser,0,Sia,2,369,334,0,0,-12,16,357,350
